Title of the Job,Company,Company Info,Responsibilities,Requirements,Job Type,Experience,Education
Angular Developer,,"DineEngine is looking for a motivated, hard-working Angular/Ionic developer who values working on awesome customer experiences and progressive web applications. Our company is in search of a qualified individual who is looking for a long-term position building cutting-edge software for the restaurant, hospitality and retail industries.","2+ years Angular/Ionic development experience REQUIRED,2+ years JavaScript framework experience,Git experience.,3rd Party API experience (Basic Auth and OAuth2) REQUIRED,2+ years Bootstrap 3/4, CSS and HTML experience,Work with UI/UX designers to implement front-end functionality,4 year bachelor's degree in Computer Science or equivalent experience in web/mobile development.","React Native/Mobile Development,AngularJS/ReactJS Development,Custom API development,Docker/DevOps,Android/iOS Experience,Full Stack: PHP, Python, Ruby on Rails development,Progressive web applications (PWA),Restaurant service experience",,"Javascript: 2 years (Preferred),Angular: 2 years (Required)",Bachelor's (Required)
Ansible Developer (BH6) (TF3),,,,,,,
Software Engineer,,"Serves as a Software Engineer in the Division of Human Genetics within the Department of Internal Medicine who administers and implements new features within the Division of Human Genetics Data Management Platform hosted at the Ohio Supercomputer Center; extensively uses Linux high-performance computing environment at the Ohio Supercomputer Center to execute systems administration tasks; identifies issues with the division?s data management platform software and works with the vendor and/or Ohio Supercomputer Center staff to resolve; designs and establishes integrated databases containing phenotypic and genotypic data; administers IBM DB2 and other databases; identifies repositories, data elements, and issues related to capturing required data; develops, documents and maintains custom SQL queries and reports; develops, documents and maintains Java applications and Angular JS web applications to facilitate reporting, data management, and end-user interaction with data; develops, documents and maintains pipelines and scripts for processing of genomic data; executes genomic data processing pipelines; utilizes Git, literate programming and other techniques to document data provenance, configuration changes, and processing steps to ensure reproducibility; uses issue- and time-tracking systems to document work progress; stays abreast of new hardware and software technologies relevant to the operation of the Division of Human Genetics Data Management Platform.",,,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or protected veteran status.",,
Sr. ETL/Informatica Developer,,"Our direct client in Columbus Ohio, has an immediate need for an Informatica ETL Developer. This is a contract position for 1 year with possible extensions. The client ais requesting for a in person interview and local candidates shall be given preference.","Collaborate with team and other technical groups in IT to implement data integration, ETL solutions following best practices and adhering to standards,Demonstrate ownership of assignments and professional maturity to deliver well-tested, dependable cost-effective deliverables in a timely manner,Demonstrate excellent communication skills to convey complex design and implementation solutions to colleagues and possibly business users,Provide production and maintenance support for developed applications,Maintain accurate and up to date design, implementation documentation,Develop, test and implement ETL applications using Informatica PowerCenter,Develop routines for ETL performance optimization,Develop scripts SQL, Unix","10+ years of Database programming experience preferably with PL/SQL,10+ years of ETL experience using Informatica ,Extensive knowledge in Data Analysis, Design, Development, Implementation and Testing using Data Extraction, Data Transformation and Data Loading (ETL), and Data Integration using Informatica Power Center.,Experience with developing ETLs that integrate with Cloud systems is helpful.,Strong experience in Informatica tools: Repository manager, Designer, Workflow manager, Workflow monitor. Ability to work with complex mappings using different transformations like Source Qualifier, Lookup, Filter, Expression, Router, Normalizer, Joiner, Update Strategy, Rank, Aggregator, Stored Procedure, Sorter, and Sequence Generator.,Hands-on experience using Informatica with web-based/cloud sources and targets is helpful.,Hands-on experience in one or more programming or scripting languages, such as C++, C#, Java, JavaScript, Python, Perl, , will be helpful.,Understanding of Relational ,Strong understanding of data warehousing concepts is a must.","The ETL Developer will be a key member of Application Design and Development unit at the company. In addition to being responsible for implementing migration and integration ETLs, the developer will work directly with scrum team members and business gathering requirements to analyze, design and/or implement technology best practice business changes. They will work with senior members of the team ensuring the successful delivery of the project.","Bachelor's degree required, preferably in a related discipline such as Information Systems, Computer Science, Software Engineering,Certifications: Informatica PowerCenter is a plus, but not required.","relevant: 10 years (Required),Informatica: 10 years (Required)"
DevOps Developer,,,,,,,
IS Technical Specialist,,,,,,,
QA Automation Engineer,,,,,,,
Developer Support - Platform,,,,,,,
Software Engineer,,,"Agile, test-driven development,Constant collaboration,Automated testing and continuous integration,Using the best open-source tools and technologies,Blowing away our users' expectations","Designing, building and owning features and APIs across our entire product suite,Contributing to all parts of the development process including defining requirements, planning, prototyping, design, development, and testing,Using your skills and experience to help make critical technical decisions and guide the evolution of our tech stack",,"BS or higher in Computer Science or other technical field (or equivalent professional experience),Experience working within a healthcare technology company is required; candidates without this experience will not be considered,3+ years experience in software development,Proficiency in with Python, Javascript, SQL, Docker,Proficiency in a modern Javascript MV* framework (AngularJS preferred) as well as HTML and CSS,Experience working within a microservices architecture is a plus,Test-driven development,Software design and architecture,Ability to work with a high degree of responsibility and autonomy,Pride in the quality of your code,Ability to master new technologies quickly",
Senior Software Engineer - Robotics,,,"Work directly with the Robotics team,Collaborating on the design of key back-end software architecture and modules.,Coding on new features, bug fixes and unit tests,Integrating, debugging, and deploying state-of-the-art algorithms and methods,Managing code changes with version control using Git branching,Writing algorithm tests and numerical evaluations","Minimum of BS in Computer Science, Electrical Engineering or equivalent,3 to 5 years of full stack development experience or equivalent industry experience,Strong knowledge and experience with C++ and Python languages,Experience with version control, preferably Git,Experience with linux,Development of drivers and communication methods for robotic hardware and sensors,Good mathematical fundamentals, particularly linear algebra, numerical methods and optimization",,"Experience with database design and implementation,Experience with ROS (Robot Operating System),Experience with SQL, Angular, Javascript","More than just filling a role - we value people, their individuality, and their ideas.,Join a team of dedicated, supportive and enthusiastic people working together to achieve our vision.,An opportunity to be a part of a venture-backed startup early on, where your work will have an immediate and direct impact.,Exceptional benefits, team events and more!,Competitive compensation and equity - invest in yourself!"
Principal Software Engineer,,,"Collaborating on the design of key back-end software architecture and modules.,Coding on new features, bug fixes and unit tests,Integrating, debugging, and deploying state-of-the-art algorithms and methods,Managing code changes with version control using Git branching,Writing algorithm tests and numerical evaluations","Minimum of BS in Computer Science, Electrical Engineering or equivalent,3-5+ years of full stack development experience or equivalent industry experience,Strong knowledge and experience with C++ and Python languages,Experience with version control, preferably Git,Experience with linux,Development of drivers and communication methods for robotic hardware and sensors,Good mathematical fundamentals, particularly linear algebra, numerical methods and optimization",,"Experience with database design and implementation,Experience with ROS (Robot Operating System),Experience with SQL, Angular, Javascript","More than just filling a role - we value people, their individuality, and their ideas.,Join a team of dedicated, supportive and enthusiastic people working together to achieve our vision.,An opportunity to be a part of a venture-backed startup early on, where your work will have an immediate and direct impact.,Exceptional benefits, team events and more!,Competitive compensation and equity - invest in yourself!"
Business Intelligence (BI) Administrator,,,"Address the day-to-day requests of developers, analysts, and users of BI platforms (e.g., assistance requests, access and security changes, code/content deployments, data source changes, troubleshooting, etc.),Provide technical assistance, training, and support to users of BI and analytics software,Ensure system reliability, availability and performance by monitoring, troubleshooting, implementing backup/recovery processes, and rigorously planning and testing changes to systems,Install, patch, configure and test enterprise BI software","Education Level: Bachelor's Degree,Course of Study/Major: Bachelor's degree in Computer Science, Information Technology, or other relevant technical area of study,Related Work Experience: 4-6 years,Must demonstrate an ability to partner well with others in a collaborative, matrixed team environment,Must be passionate about delivering an exceptional customer experience and demonstrate an ability to solve business and technical challenges with the customer in mind,Strong speaking and presentation skills are required to communicate ideas and proposals to technical and non-technical audiences (e.g., white boarding, group presentations),Strong problem-solving skills and experience performing cause and effect analysis,Must be well-organized and able to balance work on multiple concurrent projects,Must be availability to participate in an on-call support rotation in a 7x24x365 environment,A working knowledge of process improvement and/or quality methodologies is desirable (e.g., Lean, Six Sigma or Total Quality Management),At least three years of experience in a relevant technical role, such as system administrator, application administrator or business intelligence developer,Experience administering SAS,Experience working with data warehouse systems and various types of reporting and data analysis software,Basic Windows Server administration experience is required; Linux experience is desirable,Proficiency with a least one general purpose programming or scripting language (e.g., PowerShell, Python, Java, NodeJS, etc.),Must have proficiency with SQL and a working knowledge of relational database management systems,Experience planning and/or executing enterprise software deployments is highly desirable,Must have experience installing, patching and upgrading server and client software,Must have experience providing end user support for enterprise applications,A working understanding of authentication of technologies is required (e.g., Active Directory or Okta),An understanding of networking is required (e.g., process communication, sockets/ports, load balancers)",,,
DevOps Engineer,," Columbus, OH","Provide DevOps leadership for an Agile Delivery team developing software applications and systems, creating or enhancing products and solutions.,Deliver solutions to production environments creating business value.,Collaborate with your teammates and product owners grooming backlogs of epics and stories for upcoming development sprints.,Push the limits of strong software engineering by helping to drive automated software testing, advanced change control, and continuous delivery.","4-year degree in computer science or engineering, or equivalent experience.,Docker, Jenkins, OpenStack, Puppet, Maven, Git, Java: Experience and knowledge creating enterprise applications with automated builds, deployments, and operating domains.,Strong preference for knowledge of Graphana, Flume, Thruk/Shinken/Nagios, and Spark/Hadoop.,Application Delivery and Software Development: at least 2-3 years of experience.,Java/Linux technology stack: Experience and knowledge of application servers, backend processing, the web tier and shell scripting.,Automated Testing, Test-driven Development, debugging, troubleshooting, and optimizing code: advanced experience and knowledge,Big Data: experience with the big data technology stack (e.g. Hadoop, Cascading, Spark, Scala, Solr/Lucene etc.).,Pair Programming – Need to have experience or be willing to pair with others when it makes sense.,Clear Communication – Must be comfortable and eager discussing work items in team settings.,Passion for Development – Actively learns on the job and outside of work. We are a team of developers that constantly seek to improve our craft and we expect to work with the same.,Cross Functional Skill Development – willing to learn new skills and roles to meet the needs of their team.","Docker, OpenStack, Puppet, Jenkins, Maven, Git, Java, Scala/Spark, Python, Redis, Jetty, Spring, REST, Maven, IntelliJ, SQL, Linux, Gerrit, JUnit, Protractor, Hadoop, Map-Reduce, Solr, Lucene, Riak/MongoDB, Swift, Jira, Selenium",,
Senior Software Engineer - Sensors,,,"Work directly with the Vision Sensor team,Collaborating on the design of key back-end software architecture and modules.,Coding on new features, bug fixes and unit tests,Integrating, debugging, and deploying state-of-the-art algorithms and methods,Managing code changes with version control using Git branching,Writing algorithm tests and numerical evaluations","Minimum of BS in Computer Science, Electrical Engineering or equivalent,3 to 5 years of full stack development experience or equivalent industry experience,Strong knowledge and experience with C++ and Python languages,Experience with version control, preferably Git,Experience with linux,Development of drivers and communication methods for robotic hardware and sensors,Good mathematical fundamentals, particularly linear algebra, numerical methods and optimization",,"Experience with database design and implementation,Experience with ROS (Robot Operating System),Experience with SQL, Angular, Javascript","More than just filling a role - we value people, their individuality, and their ideas.,Join a team of dedicated, supportive and enthusiastic people working together to achieve our vision.,An opportunity to be a part of a venture-backed startup early on, where your work will have an immediate and direct impact.,Exceptional benefits, team events and more!,Competitive compensation and equity - invest in yourself!"
"Software Engineer, Engineering Productivity",,,"Right information to the right person at the right time. We apply this principle to almost every solution we design. Whether that's a slack bot informing your team they are requested to review a pull request, or looking up test failures to detect whether it's a known failure reason or a flaky test to inform the affected developer.,Workflows for humans and machines are symbiotic. In an increasingly technology-driven world, more of our work involves working with automation. This frees up humans to do what they uniquely do best, while letting machines automate the rest. For example, why should a developer have to babysit a pull request? They can delegate this task to a bot to merge and deliver their changes once tests pass and they receive code review approvals.","Develop a ""test ownership system"" to automate triaging failing tests to the appropriate developers that own them.,Design and develop a system to detect and prevent flaky tests so developers are not affected by them and spend little time investigating these failures unrelated to their changes.,Optimize the cycle time for our automated test pipeline stages.",,"Python,Web application framework such as Flask or Django,Relational database,Linux or Mac","AWS Lambda,Aurora RDS / Postgresql (Sqlalchemy),Building chatbots,Browser plugin development,Frontend development (Javascript, VueJS),Collecting data, visualizing data with dashboards, analyzing data for insights,Knowledge about DevOps, Continuous Delivery, Customer Experience methodologies"
Sr. ETL/Informatica Developer,,"Our direct client in Columbus Ohio, has an immediate need for an Informatica ETL Developer. This is a contract position for 1 year with possible extensions. The client ais requesting for a in person interview and local candidates shall be given preference.","Collaborate with team and other technical groups in IT to implement data integration, ETL solutions following best practices and adhering to standards,Demonstrate ownership of assignments and professional maturity to deliver well-tested, dependable cost-effective deliverables in a timely manner,Demonstrate excellent communication skills to convey complex design and implementation solutions to colleagues and possibly business users,Provide production and maintenance support for developed applications,Maintain accurate and up to date design, implementation documentation,Develop, test and implement ETL applications using Informatica PowerCenter,Develop routines for ETL performance optimization,Develop scripts SQL, Unix","10+ years of Database programming experience preferably with PL/SQL,10+ years of ETL experience using Informatica ,Extensive knowledge in Data Analysis, Design, Development, Implementation and Testing using Data Extraction, Data Transformation and Data Loading (ETL), and Data Integration using Informatica Power Center.,Experience with developing ETLs that integrate with Cloud systems is helpful.,Strong experience in Informatica tools: Repository manager, Designer, Workflow manager, Workflow monitor. Ability to work with complex mappings using different transformations like Source Qualifier, Lookup, Filter, Expression, Router, Normalizer, Joiner, Update Strategy, Rank, Aggregator, Stored Procedure, Sorter, and Sequence Generator.,Hands-on experience using Informatica with web-based/cloud sources and targets is helpful.,Hands-on experience in one or more programming or scripting languages, such as C++, C#, Java, JavaScript, Python, Perl, , will be helpful.,Understanding of Relational ,Strong understanding of data warehousing concepts is a must.","The ETL Developer will be a key member of Application Design and Development unit at the company. In addition to being responsible for implementing migration and integration ETLs, the developer will work directly with scrum team members and business gathering requirements to analyze, design and/or implement technology best practice business changes. They will work with senior members of the team ensuring the successful delivery of the project.","Bachelor's degree required, preferably in a related discipline such as Information Systems, Computer Science, Software Engineering,Certifications: Informatica PowerCenter is a plus, but not required.","relevant: 10 years (Required),Informatica: 10 years (Required)"
Software Engineer,,,,,,,
Angular Developer,,"DineEngine is looking for a motivated, hard-working Angular/Ionic developer who values working on awesome customer experiences and progressive web applications. Our company is in search of a qualified individual who is looking for a long-term position building cutting-edge software for the restaurant, hospitality and retail industries.","2+ years Angular/Ionic development experience REQUIRED,2+ years JavaScript framework experience,Git experience.,3rd Party API experience (Basic Auth and OAuth2) REQUIRED,2+ years Bootstrap 3/4, CSS and HTML experience,Work with UI/UX designers to implement front-end functionality,4 year bachelor's degree in Computer Science or equivalent experience in web/mobile development.","React Native/Mobile Development,AngularJS/ReactJS Development,Custom API development,Docker/DevOps,Android/iOS Experience,Full Stack: PHP, Python, Ruby on Rails development,Progressive web applications (PWA),Restaurant service experience",,"Javascript: 2 years (Preferred),Angular: 2 years (Required)",Bachelor's (Required)
Software Engineer,,"Serves as a Software Engineer in the Division of Human Genetics within the Department of Internal Medicine who administers and implements new features within the Division of Human Genetics Data Management Platform hosted at the Ohio Supercomputer Center; extensively uses Linux high-performance computing environment at the Ohio Supercomputer Center to execute systems administration tasks; identifies issues with the division?s data management platform software and works with the vendor and/or Ohio Supercomputer Center staff to resolve; designs and establishes integrated databases containing phenotypic and genotypic data; administers IBM DB2 and other databases; identifies repositories, data elements, and issues related to capturing required data; develops, documents and maintains custom SQL queries and reports; develops, documents and maintains Java applications and Angular JS web applications to facilitate reporting, data management, and end-user interaction with data; develops, documents and maintains pipelines and scripts for processing of genomic data; executes genomic data processing pipelines; utilizes Git, literate programming and other techniques to document data provenance, configuration changes, and processing steps to ensure reproducibility; uses issue- and time-tracking systems to document work progress; stays abreast of new hardware and software technologies relevant to the operation of the Division of Human Genetics Data Management Platform.",,,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or protected veteran status.",,
Infrastructure Engineer,,,,,,,
AI Software Developer Consultant,,,,,,,
Ansible Developer (BH6) (TF3),,,,,,,
Senior Linux Systems Engineer,,,,,,,
AWS Engineer,,,"Understanding of cloud computing technologies, business drivers, and emerging computing trends,Proven track record of building trusted technical and business relationships with business executives and driving grow in highly strategic or key accounts,Proven track record of driving decisions collaboratively, resolving conflicts and ensuring follow through,Strong problem-solving and analytical skills leveraging all available resources,Ability to connect technology with measurable business value,Demonstrated technical thought leadership in customer facing situations,Scripting (BASH, Perl, Ruby, Python, etc.) and building required automation (using standard technologies such as Puppet, Chef) and tools,Serving as a hands-on subject matter expert for DevOps and Automation in an AWS infrastructure environment,Leading and contributing to the development, maintenance, and usage of deployment and task automation (OS, database services, virtual networks, or other platform services),Participating on fast-paced DevOps and SysOpsEngineering teams within Scrum agile processes,Working directly with architects and developers to create supportable designs and debug problems,Developing cloud infrastructure designs and implementations and guiding the process from development to operations,Making decisions on problem resolutions in critical down time situations when escalation is impractical,Creating and delivering knowledge sharing presentations and documentation to developers and operations teams (Document system diagrams, run books, and procedures, etc.),Attending and contributing in technical discussions and working groups with various stakeholders  ","Industry Expert, 2-4 Year experience working in an existing AWS Environment level,Bachelor's Degree in Computer Science, Computer Engineering, MIS or related field.,Exceptional verbal and written communication,Presentation skills with a high degree of comfort with both large and small audiences ", ,"Competitive Compensation Packages  ,Employee Subsidized Medical Premiums  ,Dental and Vision Coverage ,Paid Time Off ,401K + Company Contribution ,Hardware and Software Reimbursement  ,Paid Training  ,Tuition Reimbursement  ,Wellness Program and much more! ",United States (Required)
Senior Software Engineer,,,"Collaborating on the design of key back-end software architecture and modules.,Coding on new features, bug fixes and unit tests,Integrating, debugging, and deploying state-of-the-art algorithms and methods,Managing code changes with version control using Git branching,Writing algorithm tests and numerical evaluations","Minimum of BS in Computer Science, Electrical Engineering or equivalent,3 to 5 years of full stack development experience or equivalent industry experience,Strong knowledge and experience with C++ and Python languages,Experience with version control, preferably Git,Experience with linux,Development of drivers and communication methods for robotic hardware and sensors,Good mathematical fundamentals, particularly linear algebra, numerical methods and optimization",,"Experience with database design and implementation,Experience with ROS (Robot Operating System),Experience with SQL, Angular, Javascript","More than just filling a role - we value people, their individuality, and their ideas.,Join a team of dedicated, supportive and enthusiastic people working together to achieve our vision.,An opportunity to be a part of a venture-backed startup early on, where your work will have an immediate and direct impact.,Exceptional benefits, team events and more!,Competitive compensation and equity - invest in yourself!"
GIS Software Developer,,,,,,,
"Linux Systems Engineer, Specialty",,,,,,,
Senior Software Engineer - Sensors,,,"Work directly with the Vision Sensor team,Collaborating on the design of key back-end software architecture and modules.,Coding on new features, bug fixes and unit tests,Integrating, debugging, and deploying state-of-the-art algorithms and methods,Managing code changes with version control using Git branching,Writing algorithm tests and numerical evaluations","Minimum of BS in Computer Science, Electrical Engineering or equivalent,3 to 5 years of full stack development experience or equivalent industry experience,Strong knowledge and experience with C++ and Python languages,Experience with version control, preferably Git,Experience with linux,Development of drivers and communication methods for robotic hardware and sensors,Good mathematical fundamentals, particularly linear algebra, numerical methods and optimization",,"Experience with database design and implementation,Experience with ROS (Robot Operating System),Experience with SQL, Angular, Javascript","More than just filling a role - we value people, their individuality, and their ideas.,Join a team of dedicated, supportive and enthusiastic people working together to achieve our vision.,An opportunity to be a part of a venture-backed startup early on, where your work will have an immediate and direct impact.,Exceptional benefits, team events and more!,Competitive compensation and equity - invest in yourself!"
"Lead iOS Developer | Columbus, OH",,,,,,,
Ansible Developer (BH6) (TF3),,,,,,,
"Linux Build Engineer, Code & Architecture",,,"Extend, modify and support DataRobot's internal build system to bring collections of software into developer's hands and into our product.,Empowering other engineers (users of the build system) to be able to reliably add and test new libraries and tools.,Help evaluate and integrate cutting edge machine learning libraries into our product.","Firm understanding of common unix source compilation patterns such as autoconf/libtool, cmake, Makefile,,Firm understanding of the philosophies of packaging builds and supporting upstream and downstream dependencies,Experience with Continuous Integration (CI) of build artifacts",,"Python,Pip / wheel,Bash,gmake (Makefile),GCC,Jenkins,Artifactory",
Sr. ETL/Informatica Developer,,"Our direct client in Columbus Ohio, has an immediate need for an Informatica ETL Developer. This is a contract position for 1 year with possible extensions. The client ais requesting for a in person interview and local candidates shall be given preference.","Collaborate with team and other technical groups in IT to implement data integration, ETL solutions following best practices and adhering to standards,Demonstrate ownership of assignments and professional maturity to deliver well-tested, dependable cost-effective deliverables in a timely manner,Demonstrate excellent communication skills to convey complex design and implementation solutions to colleagues and possibly business users,Provide production and maintenance support for developed applications,Maintain accurate and up to date design, implementation documentation,Develop, test and implement ETL applications using Informatica PowerCenter,Develop routines for ETL performance optimization,Develop scripts SQL, Unix","10+ years of Database programming experience preferably with PL/SQL,10+ years of ETL experience using Informatica ,Extensive knowledge in Data Analysis, Design, Development, Implementation and Testing using Data Extraction, Data Transformation and Data Loading (ETL), and Data Integration using Informatica Power Center.,Experience with developing ETLs that integrate with Cloud systems is helpful.,Strong experience in Informatica tools: Repository manager, Designer, Workflow manager, Workflow monitor. Ability to work with complex mappings using different transformations like Source Qualifier, Lookup, Filter, Expression, Router, Normalizer, Joiner, Update Strategy, Rank, Aggregator, Stored Procedure, Sorter, and Sequence Generator.,Hands-on experience using Informatica with web-based/cloud sources and targets is helpful.,Hands-on experience in one or more programming or scripting languages, such as C++, C#, Java, JavaScript, Python, Perl, , will be helpful.,Understanding of Relational ,Strong understanding of data warehousing concepts is a must.","The ETL Developer will be a key member of Application Design and Development unit at the company. In addition to being responsible for implementing migration and integration ETLs, the developer will work directly with scrum team members and business gathering requirements to analyze, design and/or implement technology best practice business changes. They will work with senior members of the team ensuring the successful delivery of the project.","Bachelor's degree required, preferably in a related discipline such as Information Systems, Computer Science, Software Engineering,Certifications: Informatica PowerCenter is a plus, but not required.","relevant: 10 years (Required),Informatica: 10 years (Required)"
Model Management and Optimization Business Analyst 3,,,,,,,
Software Engineer,,"Serves as a Software Engineer in the Division of Human Genetics within the Department of Internal Medicine who administers and implements new features within the Division of Human Genetics Data Management Platform hosted at the Ohio Supercomputer Center; extensively uses Linux high-performance computing environment at the Ohio Supercomputer Center to execute systems administration tasks; identifies issues with the division?s data management platform software and works with the vendor and/or Ohio Supercomputer Center staff to resolve; designs and establishes integrated databases containing phenotypic and genotypic data; administers IBM DB2 and other databases; identifies repositories, data elements, and issues related to capturing required data; develops, documents and maintains custom SQL queries and reports; develops, documents and maintains Java applications and Angular JS web applications to facilitate reporting, data management, and end-user interaction with data; develops, documents and maintains pipelines and scripts for processing of genomic data; executes genomic data processing pipelines; utilizes Git, literate programming and other techniques to document data provenance, configuration changes, and processing steps to ensure reproducibility; uses issue- and time-tracking systems to document work progress; stays abreast of new hardware and software technologies relevant to the operation of the Division of Human Genetics Data Management Platform.",,,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or protected veteran status.",,
Angular Developer,,"DineEngine is looking for a motivated, hard-working Angular/Ionic developer who values working on awesome customer experiences and progressive web applications. Our company is in search of a qualified individual who is looking for a long-term position building cutting-edge software for the restaurant, hospitality and retail industries.","2+ years Angular/Ionic development experience REQUIRED,2+ years JavaScript framework experience,Git experience.,3rd Party API experience (Basic Auth and OAuth2) REQUIRED,2+ years Bootstrap 3/4, CSS and HTML experience,Work with UI/UX designers to implement front-end functionality,4 year bachelor's degree in Computer Science or equivalent experience in web/mobile development.","React Native/Mobile Development,AngularJS/ReactJS Development,Custom API development,Docker/DevOps,Android/iOS Experience,Full Stack: PHP, Python, Ruby on Rails development,Progressive web applications (PWA),Restaurant service experience",,"Javascript: 2 years (Preferred),Angular: 2 years (Required)",Bachelor's (Required)
Internet of Things (IoT) Cloud Platform Developer - Digital Delivery (Midwest),,,,,,,
Data Scientist,Oath Inc,,,,,,
Data Scientist,InfoTrust,,,,,,
Data Scientist,,,,,,,
Data Scientist,Ulta Beauty,,,,,,
Data Specialist/Scientist,BBVA Compass,,,,,,
Sr. Data Scientist,, ,"Provide day-to-day operation of the SAS platform, and provide project support to researchers and analysts to use the SAS data analytics capabilities. Can also develop code in SQL.,Analyze highly complex business requirements; generate technical specifications to design or redesign complex software components and applications,Act as an expert technical resource for modeling, simulation and analysis efforts,Develop solutions including complete projects, proof of concepts or code snippets as appropriate.,Effectively work with business analysts, development leads, researchers and technical staff to analyze business requirements and provide guidance on using appropriate SAS tools and SAS coding techniques including statistical methodologies, data manipulation and predictive modelling methodologies.,Respond to complex data requests that require data mining, extraction and query optimization services.,Review existing SAS code and use a mapping document to re-write the code to point to the new database.,Provide guidance to researchers and developers in use of SAS tools and methodologies.,Provide guidance to users in use of SAS clients, and clients associated with the products installed on the Medicaid Data Warehouse platform.,Work with users to understand and define project security, data, and operational requirements.","SAS: 10 years (Required),Data Science: 10 years (Preferred),SQL: 10 years (Preferred)","The ideal candidate has 16+ years of IT Experience, 12 years of advanced data analytics, and is a DC Resident.",Master's (Required),"Washington, DC (Required)"
Data Scientist I,HEB,,,,,,
Entry Level Data Scientist,IBM,,,,,,
Junior Data Scientist,Kalibri Labs,,"Take scoped requirements for components of required algorithms, and build out code to fulfill requirements,Review code, as necessary to ensure quality in algorithms,Assist in the translation of R code to Python code during migration of existing algorithms,Participate in business theory development sessions led by VP of Data Science in support of producing technical requirements,Manage Jira workstreams and Bitbucket version labeling for the Data Science team","BS. Degree in a quantitative or analytical field such as Computer Science, Mathematics, Economics, Statistics, Engineering, Physics, or Computational Social Science,Minimum of 1-2 years of work experience conducting analysis and writing code in Python and/or R is required,Minimum of 1-2 years of experience in building production-level algorithms and predictive analytics systems along with data pipelines,Strong problem-solving skills with the ability to work independently with minimal supervision,Working knowledge of databases and SQL,Familiarity with version control concepts and best practices, including experience with Git and/or Bitbucket,Familiarity with Agile methodology and project management systems such as Jira,Experience working with cloud database technologies, such as Amazon Web Services (Amazon Redshift), S3, and/or Snowflake",,"building algorithms: 1 year (Preferred),Python: 1 year (Required)",Bachelor's (Required)
2019 Intern Conversion: 2020 Full time Data Scientist - GEC,Sam's Club,,,,,,
Sports Data Scientist,,Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data. We're looking for someone to assist in the development of new models to forecast athletic performance in a number of major sports.,"Track performance of competing models to identify areas of improvement.,Conduct research using historical sports data.,Assist in development of new products for website in the sports stats space.,Build workbooks to track results of sporting events.,Develop new statistics to predict athletic performance.","Creative problem-solving skills,Ability to work independently to complete assigned projects,Knowledge of Excel and linear regressions,Interest and knowledge in sports","This is a great opportunity for someone who wants to be part of an exciting new startup company with potential for quick growth, while working in an industry they love.",relevant: 1 year (Preferred),One location
DATA SCIENTIST II,UT Southwestern Medical Center,,,,,,
Data Scientist,Central Intelligence Agency,,,,,,
Data Scientist,Neal Analytics,,,,,,
Data Scientist,,,,,,,
Junior Data Scientist - VIE San Francisco,Ubisoft,,,,,,
Data Scientist,,,,,,,
Data Scientist,Case New Holland Industrial,,,,,,
Data Scientist,,,,,,,
Data Scientist,XSolis,,"Work with structured and unstructured medical data to develop real-time predictive models,Develop tools—both client facing and internal—to streamline workflows, interpret results, and improve patient outcomes,Collaborate with and support data scientists, database engineers, and executive staff members,Maintain existing models and pipeline.","Master’s degree in STEM or related field, or equivalent work experience,Ability to read, write, and document Python code,Experience with generalized linear models, gradient boosting machines, and neural networks,Strong written and verbal communication skills,US Citizenship or Permanent Residence",,"Experience with natural language processing (NLP), particularly document classification,Experience with statistical model development and validation (large scale),Experience with data cleaning/munging,Working knowledge of MS SQL/T-SQL,Previous exposure to healthcare data",
Data Scientist - GEC,Sam's Club,,,,,,
Junior Data Scientist,Edison Energy,,,,,,
Jr. Data Scientist,Deloitte,,,,,,
Data Scientist,Central Intelligence Agency,,,,,,
Data Scientist,Ulta Beauty,,,,,,
